event,property_username,property_$initial_referring_domain,property_$initial_referrer,property_$screen_width,property_$referring_domain,property_distinct_id,property_$city,property_$screen_height,property_path,property_$referrer,property_mp_country_code,property_$region,property_mp_lib,property_currentTime,property_$device,property_time,property_$os,property_$browser,property_subject
Message View,12345,$direct,$direct,1366,,146f8acd8aa68-04c2352ab-511a6049-100200-146f8acd8ab4e2,Washington,768,/messages/SrqXtfygZ5Ha93idr,,US,District of Columbia,web,1404331800,,1404306600,,Chrome,Summary has some challenges
Back to Inbox,12345,$direct,$direct,1366,,146f8acd8aa68-04c2352ab-511a6049-100200-146f8acd8ab4e2,Washington,768,/survey,,US,District of Columbia,web,1404331803,,1404306603,,Chrome,
Audio Ended,12345,$direct,$direct,1366,,146f8acd8aa68-04c2352ab-511a6049-100200-146f8acd8ab4e2,Washington,768,/survey,,US,District of Columbia,web,,,1404306679,,Chrome,
Page Views,12345,$direct,$direct,1366,meteor-app-116663.use1.nitrousbox.com,146f8acd8aa68-04c2352ab-511a6049-100200-146f8acd8ab4e2,Washington,768,/survey,http://meteor-app-116663.use1.nitrousbox.com/survey,US,District of Columbia,web,,,1404306811,,Chrome,
Play Audio,12345,$direct,$direct,1366,meteor-app-116663.use1.nitrousbox.com,146f8acd8aa68-04c2352ab-511a6049-100200-146f8acd8ab4e2,Washington,768,/survey,http://meteor-app-116663.use1.nitrousbox.com/survey,US,District of Columbia,web,1404332013068,,1404306813,,Chrome,
Page Views,12345,$direct,$direct,1366,meteor-app-116663.use1.nitrousbox.com,146f8acd8aa68-04c2352ab-511a6049-100200-146f8acd8ab4e2,Washington,768,/survey,http://meteor-app-116663.use1.nitrousbox.com/survey,US,District of Columbia,web,,,1404306891,,Chrome,
Message View,12345,$direct,$direct,1366,meteor-app-116663.use1.nitrousbox.com,146f8acd8aa68-04c2352ab-511a6049-100200-146f8acd8ab4e2,Washington,768,/messages/tZLWLG2K97JN8igku,http://meteor-app-116663.use1.nitrousbox.com/survey,US,District of Columbia,web,1404332115466,,1404306916,,Chrome,Meeting
Back to Inbox,12345,$direct,$direct,1366,meteor-app-116663.use1.nitrousbox.com,146f8acd8aa68-04c2352ab-511a6049-100200-146f8acd8ab4e2,Washington,768,/survey,http://meteor-app-116663.use1.nitrousbox.com/survey,US,District of Columbia,web,1404332116,,1404306917,,Chrome,
Page Views,oleary9,$direct,$direct,1440,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Washington,900,/,,US,District of Columbia,web,,,1404315246,Windows,Chrome,
Practice View,testing,$direct,$direct,1440,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Washington,900,/practice/2KXwL4ZhKn9Nuj2T5,,US,District of Columbia,web,,,1404315258,Windows,Chrome,RE: Meeting next week regarding sales conference
Practice View,testing,$direct,$direct,1440,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Washington,900,/practice/FqdJtFzzNufjNHFgW,,US,District of Columbia,web,,,1404315313,Windows,Chrome,RE: Meeting next week regarding sales conference
